case_id,dice,pred_voxels,truth_voxels
spleen_10,0.9593,53182,53071
spleen_12,0.9698,529659,537685
spleen_13,0.9655,198712,203903
spleen_14,0.9661,125861,124163
spleen_16,0.9412,39266,40044
spleen_17,0.9431,95733,96414
spleen_18,0.9519,162086,157714
spleen_19,0.9678,99692,96852
spleen_2,0.9613,97035,96672
spleen_20,0.9432,220031,221465
spleen_21,0.9427,94856,100998
spleen_22,0.9637,197952,194955
spleen_24,0.9361,21335,20702
spleen_25,0.9569,81057,81394
spleen_26,0.9706,90292,88339
spleen_27,0.9434,64274,64222
spleen_28,0.9606,36677,36641
spleen_29,0.9667,51821,49606
spleen_3,0.9368,59401,58026
spleen_31,0.9667,130000,130421
spleen_32,0.9605,83596,82734
spleen_33,0.9705,95620,96254
spleen_38,0.9589,28332,27128
spleen_40,0.9659,61305,60144
spleen_41,0.9522,48034,46185
spleen_44,0.8663,27908,31337
spleen_45,0.9444,53331,55685
spleen_46,0.9525,89627,90347
spleen_47,0.955,133163,138188
spleen_49,0.969,104618,104397
spleen_52,0.9606,76051,71002
spleen_53,0.9513,61814,57851
spleen_56,0.925,24122,22812
spleen_59,0.9602,95943,94315
spleen_6,0.9642,160332,154736
spleen_60,0.9647,95122,95369
spleen_61,0.9604,55495,54596
spleen_62,0.9537,118931,120843
spleen_63,0.9609,125084,126135
spleen_8,0.9605,108340,108477
spleen_9,0.9668,98804,97210
