case_id,dice_kidney_tumor_cyst,dice_kidney_cyst,dice_kidney_cyst_ignore_tumor,voxels_label_1,coverage_label_1,voxels_label_2,coverage_label_2,voxels_label_3,coverage_label_3
case_00040,0.6607,0.6461,0.6539,306466,0.4861,6427,0.8541,0,
case_00051,0.9279,0.889,0.9232,187029,0.8768,13980,0.9778,3304,0.0345
case_00135,0.8612,0.5332,0.8563,1064133,0.7534,1489413,0.7617,0,
case_00178,0.8551,0.7065,0.904,97863,0.8398,79476,0.6477,2569,0.3986
case_00236,0.8023,0.6682,0.8833,121063,0.7953,126749,0.5536,0,
case_00249,0.9367,0.6554,0.9254,464194,0.8655,396592,0.9041,2129,0.4462
case_00261,0.9415,0.861,0.9348,961137,0.8938,163883,0.9609,0,
case_00271,0.9203,0.7911,0.9047,1469332,0.8434,417221,0.9475,20870,0.2716
case_00291,0.892,0.8181,0.9095,134978,0.8366,39330,0.7053,0,
case_00295,0.9567,0.9351,0.9558,1204744,0.9337,54464,0.9559,0,
case_00298,0.9131,0.8717,0.9355,1452977,0.8852,307018,0.6559,0,
case_00456,0.9254,0.9238,0.9253,156655,0.8621,513,0.9201,594,0.9933
case_00465,0.4705,0.4682,0.469,134246,0.7419,1452,0.6763,298154,0.1112
case_00467,0.9026,0.8496,0.8989,318331,0.8181,38493,0.8731,0,
case_00528,0.9322,0.9168,0.9321,539322,0.8775,19284,0.8791,0,
case_00544,0.8955,0.8951,0.8958,518041,0.8318,1370,0.6226,21782,0.3442
case_00559,0.9125,0.8845,0.908,1318386,0.8398,65286,0.9937,0,
case_00563,0.8779,0.8764,0.88,210735,0.8333,3401,0.5363,40687,0.5416
case_00574,0.9047,0.9047,0.9071,186407,0.8313,2004,0.4471,0,
case_00582,0.4605,0.7259,0.7543,225666,0.6078,279665,0.051,0,
